business_id,labels
003sg,1 2   5 6  8
00er5,0   3   6  8
00kad,3   6  8
00mc6,5 6  8
00q7x,1 2   5 6  8
00v0t,1  3  5 6  8
00y7p,3  5 6  8
019fg,1 2   5 6  8
019r1,1     6  8
01i5j,3  5 6  8
01is9,2 3  5 6  8
01mrb,1 2 3  5 6  8
01pyb,0   3  5 6  8
01s0p,3  5 6  8
01xsq,2 3   6  8
021oz,1  3  5 6  8
026nc,1 2   5 6  8
02bwy,1  3  5 6  8
02d9t,5 6  8
02eos,1 2 3  5 6  8
02fio,1 2   5 6  8
02pxt,3  5 6  8
02qrp,1 2   5 6
02rfd,1 2   5 6  8
0357u,5 6  8
035x6,1 2   5 6  8
038l4,0     5 6  8
03bbu,1  3  5 6  8
03ked,3  5 6  8
03m8y,5 6  8
03vx8,1 2 3  5 6
03yz9,1 2 3  5 6  8
040nh,2 3  5 6  8
042hy,2   5 6  8
044sl,1 2 3  5 6
045qe,3  5 6  8
04944,1    5 6  8
04cy7,2   5 6  8
04ilw,1 2 3  5 6  8
04imx,2 3  5 6  8
04kgm,3  5 6  8
04ud9,1 2   5 6  8
04wn2,2 3  5 6  8
04zgs,1 2   5 6  8
050l6,2   5 6  8
0573e,1 2  4 5 6  8
057qc,5 6
05fb2,6  8
05h9r,3   6  8
05ihx,0 1     6  8
05jhx,1 2   5 6  8
05rwc,1  3  5 6  8
06cko,1    5 6  8
06fzh,3   6  8
06gbm,2    6  8
06ml0,1  3  5 6  8
06p0g,1  3  5 6  8
06ums,2 3  5 6  8
06vhp,1  3  5 6  8
0707d,2 3  5 6  8
070ll,5 6  8
077lb,1    5 6  8
07bbs,1  3  5 6  8
07gmf,2   5 6  8
07nri,3  5 6  8
07o52,1 2   5 6 7 8
084gg,0 1    5 6  8
084v2,2 3  5 6  8
08dzw,2 3  5   8
08h8f,2 3  5 6  8
08ni5,2   5 6  8
08oeq,2 3  5 6  8
08wfz,6  8
0916a,5 6
092lt,1 2 3  5 6  8
098ef,2 3  5 6  8
098un,2 3  5 6  8
09ckq,1 2 3  5 6  8
09ejq,3  5 6  8
09iat,2 3  5 6  8
09kll,1    5 6  8
09pmi,1  3   6  8
09ptq,3   6  8
09w5k,1    5 6  8
0a1ko,1 2   5
0a45c,5 6  8
0a938,6  8
0adc9,1 2 3  5 6  8
0adst,1 2   5 6
0ahhr,2 3  5 6  8
0aj6u,2 3  5 6
0akmq,2   5 6  8
0au0t,1 2 3  5 6  8
0axc7,3   6  8
0axvc,1 2   5 6
0b8ky,1 2 3  5 6
0bcfg,6  8
0beyy,1 2   5 6  8
0bnm5,2   5 6  8
0bzjp,3  5 6  8
0bzjx,5 6  8
0c5ka,1    5 6  8
0cbyt,2 3  5 6  8
0cjq2,2   5 6  8
0cnbh,0 1 2 3  5 6  8
0cvd1,3  5 6  8
0cyxs,5   8
0dbg2,3  5
0ddwy,3  5 6  8
0dfrm,1    5 6  8
0div3,5 6  8
0djgl,5 6  8
0e2eh,0  2   5   8
0e3bg,2   5 6  8
0e3cn,3  5 6  8
0e69f,0  2   5 6  8
0eilg,2   5 6  8
0em68,3  5 6  8
0eolh,1 2   5 6  8
0eps4,3  5 6  8
0eqm9,1 2   5 6  8
0ey3w,0  2 3  5 6
0f3qk,5 6  8
0f46h,1 2   5 6  8
0f4hh,5 6  8
0fbnt,2 3  5 6  8
0fenh,1 2   5 6  8
0fo37,3  5 6  8
0frr7,5 6  8
0ftqi,1 2 3 4 5 6  8
0ftr0,2   5 6  8
0g47h,2   5 6  8
0gbv7,3  5 6  8
0ghm5,1 2   5 6  8
0gjgs,0 1     6  8
0gnbb,1    5 6  8
0gtmi,2   5 6
0gxlt,3   6  8
0h0hd,1 2   5 6  8
0h1a4,2 3  5 6  8
0h4wo,1 2 3  5 6  8
0h5qu,1 2   5 6
0h8d4,1 2 3  5 6  8
0h8d5,1  3  5 6  8
0hbpj,1 2   5 6
0hfot,0 1 2   5 6  8
0hlhs,1    5   8
0hqkx,1 2 3  5 6 7
0hr59,6  8
0hv5j,2    6  8
0hx8q,0   3  5 6  8
0hy2b,2   5 6  8
0hyg2,5 6  8
0i4yt,1    5   8
0i5sb,1 2   5 6  8
0ib7h,1 2   5 6
0iiax,4 5 6  8
0iimp,5 6  8
0il9j,1 2 3  5 6
0imrj,5 6  8
0imwn,3  5 6  8
0iuhw,1 2 3  5 6
0j2q7,5 6  8
0j8vu,1 2   5 6  8
0j8zu,1 2 3 4 5 6  8
0jbjh,1 2 3  5 6  8
0jc5r,3  5 6  8
0jc65,3     8
0jfku,1    5 6  8
0jiz6,0        8
0jty2,2 3  5 6 7
0jvh7,5 6  8
0k4ul,3     8
0ke39,2 3  5 6  8
0l70b,1 2   5 6  8
0la7t,1 2 3  5 6
0laj4,1 2 3  5 6  8
0llgh,1    5 6  8
0lmxz,3  5 6  8
0lyuo,1  3  5 6  8
0lz84,2 3  5 6  8
0m08q,3  5 6  8
0m3wj,1 2 3  5 6
0m7ri,5 6  8
0maca,1 2   5 6
0mmu4,1 2   5 6  8
0mreo,1 2   5 6  8
0n1ay,5 6  8
0n2m1,3  5 6  8
0n4nu,2   5 6  8
0n8do,1 2 3  5
0n8et,2   5
0n8t4,2 3  5 6  8
0nn94,0 1  3  5 6  8
0nq6o,1 2 3  5 6  8
0nq8g,1 2   5 6  8
0nr91,2   5 6 7 8
0nrue,3  5 6  8
0nyh7,1 2 3  5 6
0o9fn,1 2 3  5 6  8
0ob7h,2 3  5 6  8
0oi66,1 2   5 6  8
0okpg,1  3  5 6  8
0omun,2 3  5 6  8
0oq6q,1 2   5 6  8
0ov4f,2 3  5 6  8
0ox18,2   5 6  8
0p81n,2   5 6  8
0pac2,1     6  8
0pdq3,1 2 3  5 6
0phk2,2 3  5 6  8
0pmkh,1 2 3  5 6  8
0poig,1 2 3  5 6  8
0prxg,1 2 3   6  8
0pthg,5 6  8
0pwam,2 3  5 6  8
0q08m,2   5 6
0q2ua,2 3  5 6  8
0q3on,6  8
0q6bl,5 6  8
0qevl,2   5 6  8
0qj4g,2   5 6
0qy5h,1 2   5 6  8
0qz6n,1  3  5 6  8
0rc3e,1 2 3  5 6  8
0re2p,2 3  5 6  8
0rgkv,1 2   5 6
0rorx,1 2   5 6  8
0rq2p,1 2   5 6  8
0rqis,2   5 6  8
0ruub,5 6  8
0rzi7,1     6  8
0s3z5,1 2   5 6
0s7wm,5 6  8
0s8h6,6  8
0s9nf,2 3  5 6  8
0scv4,3  5 6  8
0shj8,3 4 5 6 7 8
0stwm,1 2   5 6  8
0svix,1 2   5 6  8
0swcw,1  3  5 6  8
0swrj,0 1 2 3  5 6 7
0t34n,2 3  5 6  8
0t3cj,5 6  8
0t3ix,1    5 6  8
0t6ke,2 3  5 6  8
0tabm,2   5 6  8
0tc9p,1  3  5 6  8
0tqv0,1    5 6
0trt0,2 3  5   8
0tudg,0   3  5 6
0u1l6,1 2 3 4 5 6
0u8hj,1 2 3  5 6  8
0ugkn,1 2   5 6  8
0uhqx,3  5 6  8
0ulsw,5 6  8
0unkr,1  3   6  8
0uv14,5   8
0v1p7,2   5 6  8
0v6gl,2 3  5 6  8
0v8j8,1 2 3  5 6  8
0vd8s,1 2   5 6  8
0vre2,5 6  8
0vtru,1 2 3  5 6  8
0w01d,2   5 6  8
0w67f,1     6  8
0w6cx,6  8
0wkxz,2 3  5 6  8
0wn4d,1 2   5 6  8
0wof6,1 2 3  5 6  8
0wuwu,2 3  5 6  8
0wxz7,2   5 6  8
0wyma,0  2 3   6  8
0x908,1 2 3  5 6  8
0x9my,1 2 3  5 6
0xbc6,5 6  8
0xg8y,2   5 6
0xn17,3  5 6  8
0xnm9,5 6  8
0xo8z,1    5 6  8
0xveu,1    5 6  8
0y2o3,1    5 6  8
0ycld,2   5 6  8
0yhrn,1    5 6  8
0yqq9,3  5 6  8
0z01d,3  5 6  8
0z57b,1 2   5 6  8
0z5ry,1 2 3  5 6
0z6vo,1 2   5 6  8
0zb7e,2   5 6  8
0zg3y,2 3  5 6  8
0zrov,2    6
0zzlg,3  5 6  8
102f2,1 2 3  5 6  8
103ir,1  3
10drp,1 2   5 6  8
10p5u,2 3  5 6  8
10wjv,1 2   5 6 7
10xh1,1 2 3  5 6 7 8
10z4d,1 2 3  5 6
1105p,0   3  5 6  8
113vs,1 2   5 6  8
118bv,1 2   5 6  8
118ux,5 6  8
11aib,2   5 6  8
11gpr,2 3  5 6  8
11ioq,1 2 3  5 6 7
11m2v,1 2   5 6  8
11oi1,0      6  8
11sk5,1  3 4 5 6  8
11uii,2 3  5 6
122v6,1    5 6  8
123w4,1 2   5 6  8
1263s,3  5 6  8
12mex,1 2 3  5 6
12p62,6  8
12q8i,8
131go,1  3  5 6  8
13frb,2   5 6  8
13fw1,2 3  5 6  8
13jt0,5 6  8
13kjn,0     5 6  8
13nuw,6  8
13qgp,2   5 6  8
13wxb,3  5 6  8
144vd,1 2   5 6  8
149zx,1 2 3  5 6  8
14ipn,8
14m5f,1 2 3  5 6  8
14zfw,1 2 3  5 6  8
152yz,1 2   5 6  8
155ip,2 3  5 6  8
1584k,5 6  8
15918,5 6  8
15a44,3  5 6  8
15dh9,1 2   5 6  8
15k7r,0 1 2 3  5 6  8
15ofc,1    5 6
15qyl,1 2   5 6
15tqa,5 6  8
