business_id,labels
003sg,2   5 6  8
00er5,3   6  8
00kad,3  5 6  8
00mc6,5 6  8
00q7x,5 6  8
00v0t,1 2 3  5 6  8
00y7p,3  5 6  8
019fg,1 2   5 6  8
019r1,3  5 6  8
01i5j,2   5 6  8
01is9,2 3  5 6  8
01mrb,1 2 3  5 6  8
01pyb,3  5 6  8
01s0p,2 3  5 6  8
01xsq,1 2   5 6  8
021oz,3  5 6  8
026nc,1 2   5 6  8
02bwy,1  3  5 6  8
02d9t,5 6  8
02eos,5 6  8
02fio,2 3  5 6  8
02pxt,3  5 6  8
02qrp,2   5 6  8
02rfd,5 6  8
0357u,5 6  8
035x6,2   5 6  8
038l4,5 6  8
03bbu,1  3  5 6  8
03ked,5 6  8
03m8y,5 6  8
03vx8,1  3  5 6  8
03yz9,1  3  5 6  8
040nh,2 3  5 6  8
042hy,1 2   5 6  8
044sl,2 3  5 6
045qe,5 6  8
04944,2   5 6  8
04cy7,5 6  8
04ilw,3  5 6  8
04imx,1 2   5 6  8
04kgm,2 3  5 6  8
04ud9,1    5 6  8
04wn2,1 2   5 6  8
04zgs,1 2   5 6  8
050l6,1 2   5 6  8
0573e,1 2   5 6  8
057qc,2 3  5 6
05fb2,1    5 6  8
05h9r,2 3  5 6  8
05ihx,1 2   5 6  8
05jhx,1 2   5 6  8
05rwc,3  5 6  8
06cko,5 6  8
06fzh,2 3  5 6  8
06gbm,5 6  8
06ml0,2   5 6  8
06p0g,1  3  5 6  8
06ums,5 6  8
06vhp,1    5 6  8
0707d,1 2   5 6
070ll,5 6  8
077lb,1  3  5 6  8
07bbs,3  5 6  8
07gmf,5 6  8
07nri,2 3  5 6  8
07o52,1 2   5 6  8
084gg,1    5 6  8
084v2,2 3  5 6  8
08dzw,2 3  5 6  8
08h8f,2 3  5 6  8
08ni5,1 2   5 6  8
08oeq,2 3  5 6  8
08wfz,1 2 3  5 6  8
0916a,5 6  8
092lt,1 2 3  5 6  8
098ef,3  5 6  8
098un,1 2   5 6  8
09ckq,3  5 6  8
09ejq,3  5 6  8
09iat,3  5 6  8
09kll,2 3  5 6  8
09pmi,3   6  8
09ptq,3  5 6  8
09w5k,5 6  8
0a1ko,1  3  5 6  8
0a45c,1    5 6  8
0a938,6  8
0adc9,2 3  5 6  8
0adst,1 2   5 6  8
0ahhr,5 6  8
0aj6u,2 3  5 6  8
0akmq,1 2   5 6  8
0au0t,1 2 3  5 6  8
0axc7,1  3  5 6  8
0axvc,1 2   5 6  8
0b8ky,2 3  5 6  8
0bcfg,5 6  8
0beyy,2 3  5 6  8
0bnm5,1 2   5 6  8
0bzjp,2 3  5 6  8
0bzjx,3  5 6  8
0c5ka,1 2   5 6  8
0cbyt,1 2 3  5 6  8
0cjq2,5 6  8
0cnbh,1 2 3  5 6  8
0cvd1,1 2 3  5 6  8
0cyxs,5 6  8
0dbg2,2 3  5 6  8
0ddwy,3  5 6  8
0dfrm,1    5 6  8
0div3,1 2 3  5 6  8
0djgl,1 2 3  5 6  8
