business_id,labels
003sg,1 2   5 6  8
00er5,3   6  8
00kad,3  5 6  8
00mc6,2   5 6  8
00q7x,2   5 6  8
00v0t,1 2   5 6  8
00y7p,3  5 6  8
019fg,1 2 3  5 6  8
019r1,2 3  5 6  8
01i5j,2   5 6  8
01is9,3  5 6  8
01mrb,1 2   5 6  8
01pyb,5 6  8
01s0p,3  5 6  8
01xsq,2   5 6  8
021oz,3  5 6  8
026nc,1 2   5 6  8
02bwy,1  3  5 6  8
02d9t,5 6  8
02eos,1 2   5 6  8
02fio,1 2 3  5 6  8
02pxt,1  3  5 6  8
02qrp,5 6  8
02rfd,2   5 6  8
0357u,5 6  8
035x6,1 2 3  5 6  8
038l4,5 6  8
03bbu,1  3  5 6  8
03ked,5 6  8
03m8y,5 6  8
03vx8,2   5 6  8
03yz9,5 6  8
040nh,2 3  5 6  8
042hy,5 6  8
044sl,1 2 3  5 6  8
045qe,5 6  8
04944,1    5 6  8
04cy7,2   5 6  8
04ilw,2 3  5 6  8
04imx,2   5 6  8
04kgm,3  5 6  8
04ud9,1 2 3  5 6  8
04wn2,2   5 6  8
04zgs,1 2   5 6  8
050l6,1 2   5 6  8
0573e,1  3  5 6  8
057qc,2 3  5 6
05fb2,5 6  8
05h9r,2   5 6  8
05ihx,1    5 6  8
05jhx,1 2   5 6  8
05rwc,2 3  5 6  8
06cko,5 6  8
06fzh,3  5 6  8
06gbm,2   5 6  8
06ml0,2 3  5 6  8
06p0g,5 6  8
06ums,2   5 6  8
06vhp,1    5 6  8
0707d,2   5 6
070ll,5 6  8
077lb,5 6  8
07bbs,1  3  5 6  8
07gmf,2   5 6  8
07nri,3  5 6  8
07o52,1 2   5 6  8
084gg,5 6  8
084v2,3  5 6  8
08dzw,2 3  5 6  8
08h8f,2 3  5 6  8
08ni5,1 2 3  5 6  8
08oeq,1 2 3  5 6  8
08wfz,1 2   5 6  8
0916a,1    5 6  8
092lt,1 2 3  5 6  8
098ef,3  5 6  8
098un,2   5 6  8
09ckq,3  5 6  8
09ejq,3  5 6  8
09iat,2 3  5 6  8
09kll,5 6  8
09pmi,2   5 6  8
09ptq,3  5 6  8
09w5k,5 6  8
0a1ko,5 6  8
0a45c,1  3  5 6  8
0a938,5 6  8
0adc9,5 6  8
0adst,1 2   5 6  8
0ahhr,3  5 6  8
0aj6u,2 3  5 6  8
0akmq,1 2 3  5 6  8
0au0t,1 2 3  5 6  8
0axc7,1    5 6  8
